"date_garde" "heure" "commune" "nom_et_prenom_pharmacien" "adresse" "full_adress" "full_date" "lon" "lat"
"30-09-2019" "22:00-08:00" "AIN BENIAN" "HADJ DJILANI RADIA" "CITE 145/1600 LOGTS LSP LOCAL N06 BT 10" "CITE 145/1600 LOGTS LSP LOCAL N06 BT 10 AIN BENIAN Algérie" "30-09-2019 22:00-08:00" 2.9337917 36.7965083
"30-09-2019" "22:00-08:00" "ALGER CENTRE" "ILES CHAFIKA" "48 RUE BEN M HIDI ALGER CENTRE" "48 RUE BEN M HIDI ALGER CENTRE ALGER CENTRE Algérie" "30-09-2019 22:00-08:00" 3.0588848 36.7744066
"30-09-2019" "22:00-08:00" "BAB EL OUED" "GOUALA AYED" "04 rue ahmed toudert (ex des moulins)" "04 rue ahmed toudert (ex des moulins) BAB EL OUED Algérie" "30-09-2019 22:00-08:00" 3.0504856 36.7914274
"30-09-2019" "22:00-08:00" "BAB EZZOUAR" "BEFEROURA FARID" "CITE BOUSHAKI F,                                LOT N 46" "CITE BOUSHAKI F,                                LOT N 46 BAB EZZOUAR Algérie" "30-09-2019 22:00-08:00" 3.1713768 36.7233569
"30-09-2019" "22:00-08:00" "BARAKI" "ZIDELMAL FATMA ZOHRA" "CITE BENTALHA LOT C LOCAL 06 BARAKI" "CITE BENTALHA LOT C LOCAL 06 BARAKI BARAKI Algérie" "30-09-2019 22:00-08:00" 3.0985796 36.6672951
"30-09-2019" "22:00-08:00" "BENI MESSOUS" "AMEUR HANANE" "SIDI YOUCEF 1 LOTISSEMENT N°02" "SIDI YOUCEF 1 LOTISSEMENT N°02 BENI MESSOUS Algérie" "30-09-2019 22:00-08:00" 2.9713064 36.7893986
"30-09-2019" "22:00-08:00" "BIR MOURAD RAIS" "BENBRAHIM FATIMA ZOHRA" "09.RUE DES FRERES BOUADOU BT A N03ET 04 BMR" "09.RUE DES FRERES BOUADOU BT A N03ET 04 BMR BIR MOURAD RAIS Algérie" "30-09-2019 22:00-08:00" 3.0594741 36.7394747
"30-09-2019" "22:00-08:00" "BIRKHADEM" "BAOUNI FATEH" "CITE KAID EL BAB N° 18" "CITE KAID EL BAB N° 18 BIRKHADEM Algérie" "30-09-2019 22:00-08:00" 3.1854975 36.7206251
"30-09-2019" "22:00-08:00" "BIRTOUTA" "LAZIZI NADIA" "DOUAR EL KAHLAVILLA N 230 LOCAL E KHRIACIA" "DOUAR EL KAHLAVILLA N 230 LOCAL E KHRIACIA BIRTOUTA Algérie" "30-09-2019 22:00-08:00" 3.0016208 36.6452853
"30-09-2019" "22:00-08:00" "BOLOGHINE" "ANTRI BOUZAR SALIM" "13 RUE ABDELKADER ZIAR BOLOGHINE" "13 RUE ABDELKADER ZIAR BOLOGHINE BOLOGHINE Algérie" "30-09-2019 22:00-08:00" 3.0474632 36.8009527
"30-09-2019" "22:00-08:00" "BOUROUBA" "KERBAL KARIM" "CHEMIN DE LA WILAYA N° 13 BOUROUBA" "CHEMIN DE LA WILAYA N° 13 BOUROUBA BOUROUBA Algérie" "30-09-2019 22:00-08:00" NA NA
"30-09-2019" "22:00-08:00" "CASBAH" "DJOUDI NADJIA" "RUE BAB AZOUNE N12" "RUE BAB AZOUNE N12 CASBAH Algérie" "30-09-2019 22:00-08:00" 3.061114 36.7813883
"30-09-2019" "22:00-08:00" "CHERAGA" "OUITES LAHOUARI" "38 LOTISSEMENT ALIOUA FODIL CHERAGA" "38 LOTISSEMENT ALIOUA FODIL CHERAGA CHERAGA Algérie" "30-09-2019 22:00-08:00" 2.9611717 36.7675599
"30-09-2019" "22:00-08:00" "DAR EL BEIDA" "TEBAILI LEILA" "LOTISSEMENT KRIM BELKACEM N°12" "LOTISSEMENT KRIM BELKACEM N°12 DAR EL BEIDA Algérie" "30-09-2019 22:00-08:00" 3.2215129 36.7090511
